,a_tm,h_tm,sgoals,mqij,sim_ascore,sim_hscore
Los Angeles Lakers vs New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,208.4053409,-8.926865472,100,109
Los Angeles Lakers vs San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,203.2143427,-18.82696702,92,111
Los Angeles Lakers vs Boston Celtics,Los Angeles Lakers,Boston Celtics,210.2033117,-12.35523048,99,112
Los Angeles Lakers vs Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets,203.853067,-10.57083883,97,108
Los Angeles Lakers vs Denver Nuggets,Los Angeles Lakers,Denver Nuggets,214.5858601,-8.645742779,103,112
Los Angeles Lakers vs Indiana Pacers,Los Angeles Lakers,Indiana Pacers,204.4127201,-11.16339197,97,108
Los Angeles Lakers vs Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,200.6663847,-10.89172341,95,106
Los Angeles Lakers vs Miami Heat,Los Angeles Lakers,Miami Heat,200.6770785,-10.84823615,95,106
Los Angeles Lakers vs New York Knicks,Los Angeles Lakers,New York Knicks,204.6174359,-5.469244463,100,106
Los Angeles Lakers vs Phoenix Suns,Los Angeles Lakers,Phoenix Suns,214.055949,-6.384793768,104,110
Los Angeles Lakers vs Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,211.9451147,-11.80385738,101,113
Los Angeles Lakers vs Sacramento Kings,Los Angeles Lakers,Sacramento Kings,213.5265725,-7.459383445,104,111
Los Angeles Lakers vs Toronto Raptors,Los Angeles Lakers,Toronto Raptors,206.9469077,-13.73723735,97,111
Los Angeles Lakers vs Utah Jazz,Los Angeles Lakers,Utah Jazz,196.4025119,-12.57002547,93,105
Los Angeles Lakers vs Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,208.472985,-15.76033963,97,113
Los Angeles Lakers vs Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,207.1595467,-10.47564269,99,109
Los Angeles Lakers vs Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,210.9385028,-15.30659236,98,114
Los Angeles Lakers vs Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,210.666496,-6.20099515,103,109
Los Angeles Lakers vs Orlando Magic,Los Angeles Lakers,Orlando Magic,206.0182344,-6.405889374,100,107
Los Angeles Lakers vs Chicago Bulls,Los Angeles Lakers,Chicago Bulls,205.2539826,-11.09755326,98,109
Los Angeles Lakers vs Milwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks,204.4640403,-9.32632121,98,107
Los Angeles Lakers vs Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,205.4738437,-13.21447194,97,110
Los Angeles Lakers vs Detroit Pistons,Los Angeles Lakers,Detroit Pistons,204.5365325,-10.15017494,98,108
Los Angeles Lakers vs Golden State Warriors,Los Angeles Lakers,Golden State Warriors,217.5086084,-20.78145834,99,120
Los Angeles Lakers vs Houston Rockets,Los Angeles Lakers,Houston Rockets,216.473222,-13.31446924,102,115
Los Angeles Lakers vs Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,213.2417067,-14.49127594,100,115
Los Angeles Lakers vs Philadelphia 76ers,Los Angeles Lakers,Philadelphia 76ers,205.4378524,-2.506333222,102,104
Los Angeles Lakers vs Washington Wizards,Los Angeles Lakers,Washington Wizards,209.3288449,-11.699403,99,111
Los Angeles Lakers vs Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets,209.9845265,-4.896865321,103,108
New Orleans Pelicans vs Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,208.4053409,3.244753403,106,103
New Orleans Pelicans vs San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,200.5930298,-12.74115758,94,107
New Orleans Pelicans vs Boston Celtics,New Orleans Pelicans,Boston Celtics,207.5819988,-6.269421042,101,107
New Orleans Pelicans vs Charlotte Hornets,New Orleans Pelicans,Charlotte Hornets,201.2317541,-4.485029395,99,103
New Orleans Pelicans vs Denver Nuggets,New Orleans Pelicans,Denver Nuggets,211.9645472,-2.559933342,105,108
New Orleans Pelicans vs Indiana Pacers,New Orleans Pelicans,Indiana Pacers,201.7914072,-5.077582529,99,104
New Orleans Pelicans vs Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,198.0450718,-4.805913975,97,102
New Orleans Pelicans vs Miami Heat,New Orleans Pelicans,Miami Heat,198.0557656,-4.762426717,97,102
New Orleans Pelicans vs New York Knicks,New Orleans Pelicans,New York Knicks,201.996123,0.616564974,102,101
New Orleans Pelicans vs Phoenix Suns,New Orleans Pelicans,Phoenix Suns,211.4346361,-0.29898433,106,106
New Orleans Pelicans vs Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,209.3238018,-5.718047937,102,108
New Orleans Pelicans vs Sacramento Kings,New Orleans Pelicans,Sacramento Kings,210.9052596,-1.373574007,105,107
New Orleans Pelicans vs Toronto Raptors,New Orleans Pelicans,Toronto Raptors,204.3255948,-7.651427911,99,106
New Orleans Pelicans vs Utah Jazz,New Orleans Pelicans,Utah Jazz,193.781199,-6.484216035,94,101
New Orleans Pelicans vs Cleveland Cavaliers,New Orleans Pelicans,Cleveland Cavaliers,205.8516721,-9.674530189,99,109
New Orleans Pelicans vs Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,204.5382338,-4.389833251,101,105
New Orleans Pelicans vs Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,208.3171899,-9.220782922,100,109
New Orleans Pelicans vs Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,208.0451831,-0.115185713,104,104
New Orleans Pelicans vs Orlando Magic,New Orleans Pelicans,Orlando Magic,203.3969215,-0.320079936,102,102
New Orleans Pelicans vs Chicago Bulls,New Orleans Pelicans,Chicago Bulls,202.6326697,-5.011743826,99,104
New Orleans Pelicans vs Milwaukee Bucks,New Orleans Pelicans,Milwaukee Bucks,201.8427274,-3.240511772,100,103
New Orleans Pelicans vs Atlanta Hawks,New Orleans Pelicans,Atlanta Hawks,202.8525308,-7.128662504,98,105
New Orleans Pelicans vs Detroit Pistons,New Orleans Pelicans,Detroit Pistons,201.9152196,-4.0643655,100,104
New Orleans Pelicans vs Golden State Warriors,New Orleans Pelicans,Golden State Warriors,214.8872955,-14.6956489,100,115
New Orleans Pelicans vs Houston Rockets,New Orleans Pelicans,Houston Rockets,213.8519091,-7.228659803,104,111
New Orleans Pelicans vs Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,210.6203938,-8.405466506,101,110
New Orleans Pelicans vs Philadelphia 76ers,New Orleans Pelicans,Philadelphia 76ers,202.8165395,3.579476215,103,100
New Orleans Pelicans vs Washington Wizards,New Orleans Pelicans,Washington Wizards,206.707532,-5.613593561,101,107
