year,month,away_tm,away_score,home_tm,home_score
2015,october,Houston Rockets,108,Los Angeles Lakers,90
2015,october,Orlando Magic,84,New Orleans Pelicans,101
2015,october,Dallas Mavericks,100,San Antonio Spurs,101
2015,october,Brooklyn Nets,105,Boston Celtics,121
2015,october,Milwaukee Bucks,106,Charlotte Hornets,108
2015,october,Detroit Pistons,79,Denver Nuggets,89
2015,october,Philadelphia 76ers,91,Indiana Pacers,103
2015,october,Minnesota Timberwolves,101,Memphis Grizzlies,105
2015,october,Washington Wizards,95,Miami Heat,107
2015,october,Chicago Bulls,104,New York Knicks,80
2015,october,Los Angeles Lakers,99,Phoenix Suns,119
2015,october,Oklahoma City Thunder,89,Portland Trail Blazers,106
2015,october,Golden State Warriors,95,Sacramento Kings,77
2015,october,Atlanta Hawks,102,Toronto Raptors,109
2015,october,Houston Rockets,104,Utah Jazz,93
2015,october,New York Knicks,95,Cleveland Cavaliers,90
2015,october,Utah Jazz,102,Dallas Mavericks,120
2015,october,Oklahoma City Thunder,90,Los Angeles Clippers,93
2015,october,Detroit Pistons,91,Minnesota Timberwolves,97
2015,october,Washington Wizards,105,Orlando Magic,98
2015,october,Cleveland Cavaliers,114,Chicago Bulls,108
2015,october,Memphis Grizzlies,97,Indiana Pacers,89
2015,october,Los Angeles Clippers,118,Los Angeles Lakers,111
2015,october,Philadelphia 76ers,81,Milwaukee Bucks,93
2015,october,San Antonio Spurs,89,Phoenix Suns,94
2015,october,Portland Trail Blazers,94,Sacramento Kings,103
2015,november,Indiana Pacers,92,Atlanta Hawks,102
2015,november,Memphis Grizzlies,71,Charlotte Hornets,69
2015,november,Brooklyn Nets,102,Detroit Pistons,90
2015,november,Los Angeles Lakers,104,Golden State Warriors,127
2015,november,Boston Celtics,90,Houston Rockets,104
2015,november,Chicago Bulls,106,Minnesota Timberwolves,105
2015,november,Dallas Mavericks,109,New Orleans Pelicans,104
2015,november,Denver Nuggets,91,Oklahoma City Thunder,102
2015,november,Toronto Raptors,108,Orlando Magic,95
2015,november,Miami Heat,114,Philadelphia 76ers,96
2015,november,Phoenix Suns,91,Utah Jazz,118
2015,november,Milwaukee Bucks,97,Washington Wizards,108
2015,november,Sacramento Kings,98,Los Angeles Clippers,92
2015,november,Toronto Raptors,102,Miami Heat,107
2015,november,Charlotte Hornets,93,New York Knicks,96
2015,november,Golden State Warriors,95,Portland Trail Blazers,90
2015,november,Oklahoma City Thunder,85,Brooklyn Nets,116
2015,november,Boston Celtics,113,Dallas Mavericks,118
2015,november,Sacramento Kings,110,Denver Nuggets,105
2015,november,Utah Jazz,101,Los Angeles Clippers,107
2015,november,New Orleans Pelicans,81,Memphis Grizzlies,93
2015,november,Houston Rockets,104,Philadelphia 76ers,93
2015,november,Orlando Magic,90,Chicago Bulls,98
2015,november,Milwaukee Bucks,87,Indiana Pacers,81
2015,november,Phoenix Suns,112,Los Angeles Lakers,106
2015,november,Houston Rockets,108,Miami Heat,91
2015,november,Charlotte Hornets,91,New Orleans Pelicans,100
2015,november,Washington Wizards,98,New York Knicks,83
2015,november,Cleveland Cavaliers,82,Portland Trail Blazers,101
2015,november,Oklahoma City Thunder,88,Toronto Raptors,100
2015,november,Toronto Raptors,110,Boston Celtics,107
2015,november,Minnesota Timberwolves,98,Brooklyn Nets,91
2015,november,Miami Heat,89,Charlotte Hornets,96
2015,november,New York Knicks,95,Detroit Pistons,98
2015,november,Los Angeles Clippers,104,Golden State Warriors,121
2015,november,Chicago Bulls,95,Milwaukee Bucks,86
2015,november,Orlando Magic,91,Philadelphia 76ers,89
2015,november,Memphis Grizzlies,102,Phoenix Suns,91
2015,november,Denver Nuggets,109,Sacramento Kings,131
2015,november,Atlanta Hawks,92,San Antonio Spurs,94
2015,november,Cleveland Cavaliers,100,Utah Jazz,102
2015,november,Indiana Pacers,94,Washington Wizards,96
2015,november,San Antonio Spurs,81,Houston Rockets,98
2015,november,Dallas Mavericks,87,Portland Trail Blazers,108
2015,november,Indiana Pacers,98,Boston Celtics,101
2015,november,New York Knicks,99,Brooklyn Nets,110
2015,november,Atlanta Hawks,119,Charlotte Hornets,122
2015,november,Cleveland Cavaliers,110,Denver Nuggets,101
2015,november,Milwaukee Bucks,95,Detroit Pistons,98
2015,november,Memphis Grizzlies,91,Oklahoma City Thunder,89
2015,november,Minnesota Timberwolves,103,Orlando Magic,112
2015,november,Chicago Bulls,118,Philadelphia 76ers,115
2015,november,Sacramento Kings,114,Phoenix Suns,112
2015,november,Washington Wizards,84,Toronto Raptors,103
2015,november,Dallas Mavericks,105,Utah Jazz,82
2015,november,New York Knicks,96,Atlanta Hawks,103
2015,november,Boston Celtics,106,Chicago Bulls,101
2015,november,Golden State Warriors,98,Houston Rockets,87
2015,november,Washington Wizards,97,Indiana Pacers,90
2015,november,Portland Trail Blazers,102,Los Angeles Clippers,106
2015,november,Minnesota Timberwolves,92,Miami Heat,102
2015,november,Memphis Grizzlies,92,Milwaukee Bucks,93
2015,november,New Orleans Pelicans,100,San Antonio Spurs,99
2015,november,Orlando Magic,96,Brooklyn Nets,104
2015,november,Miami Heat,105,Dallas Mavericks,96
2015,november,Utah Jazz,97,Detroit Pistons,96
2015,november,Charlotte Hornets,92,Los Angeles Lakers,107
2015,november,Sacramento Kings,93,Oklahoma City Thunder,101
2015,november,Golden State Warriors,95,Phoenix Suns,107
2015,november,Denver Nuggets,100,Portland Trail Blazers,116
2015,november,Philadelphia 76ers,88,Toronto Raptors,120
2015,november,Detroit Pistons,91,Chicago Bulls,102
2015,november,New Orleans Pelicans,111,Cleveland Cavaliers,118
2015,november,Utah Jazz,86,Indiana Pacers,97
2015,november,San Antonio Spurs,89,Los Angeles Clippers,85
2015,november,Atlanta Hawks,91,New York Knicks,85
2015,november,Sacramento Kings,98,Dallas Mavericks,106
2015,november,San Antonio Spurs,113,Golden State Warriors,100
2015,november,Los Angeles Lakers,102,Memphis Grizzlies,107
2015,november,Oklahoma City Thunder,78,Milwaukee Bucks,85
2015,november,Charlotte Hornets,100,Portland Trail Blazers,102
2015,november,Orlando Magic,100,Toronto Raptors,104
2015,november,Utah Jazz,97,Atlanta Hawks,100
2015,november,Oklahoma City Thunder,109,Boston Celtics,94
2015,november,Portland Trail Blazers,130,Denver Nuggets,113
2015,november,Indiana Pacers,81,Miami Heat,75
2015,november,Houston Rockets,113,Minnesota Timberwolves,101
2015,november,Los Angeles Lakers,102,New Orleans Pelicans,109
2015,november,Orlando Magic,97,New York Knicks,95
2015,november,Brooklyn Nets,104,Phoenix Suns,112
2015,november,Detroit Pistons,103,Washington Wizards,107
2015,november,Philadelphia 76ers,70,Dallas Mavericks,123
2015,november,Brooklyn Nets,99,Golden State Warriors,107
2015,november,Sacramento Kings,110,Memphis Grizzlies,111
2015,november,Chicago Bulls,100,Toronto Raptors,93
2015,november,Miami Heat,103,Atlanta Hawks,114
2015,november,Cleveland Cavaliers,122,Boston Celtics,121
2015,november,Philadelphia 76ers,87,Houston Rockets,88
2015,november,Denver Nuggets,108,Indiana Pacers,87
2015,november,San Antonio Spurs,93,Los Angeles Lakers,80
2015,november,Minnesota Timberwolves,91,New Orleans Pelicans,139
2015,november,Utah Jazz,102,New York Knicks,100
2015,november,Detroit Pistons,96,Oklahoma City Thunder,89
2015,november,Milwaukee Bucks,85,Orlando Magic,101
2015,november,Charlotte Hornets,103,Phoenix Suns,95
2015,november,Indiana Pacers,99,Chicago Bulls,90
2015,november,Atlanta Hawks,94,Cleveland Cavaliers,127
2015,november,Minnesota Timberwolves,117,Dallas Mavericks,131
2015,november,Charlotte Hornets,87,Golden State Warriors,112
2015,november,Phoenix Suns,107,Los Angeles Clippers,120
2015,november,Detroit Pistons,88,Memphis Grizzlies,95
2015,november,Brooklyn Nets,87,Portland Trail Blazers,97
2015,november,San Antonio Spurs,91,Sacramento Kings,94
2015,november,Utah Jazz,93,Toronto Raptors,111
2015,november,Orlando Magic,93,Washington Wizards,98
2015,november,Golden State Warriors,136,Los Angeles Lakers,115
2015,november,Milwaukee Bucks,91,Miami Heat,84
2015,november,Denver Nuggets,93,New York Knicks,109
2015,november,Houston Rockets,69,Oklahoma City Thunder,65
2015,november,Phoenix Suns,118,Boston Celtics,114
2015,november,Miami Heat,95,Brooklyn Nets,83
2015,november,Dallas Mavericks,107,Charlotte Hornets,80
2015,november,Denver Nuggets,106,Cleveland Cavaliers,97
2015,november,Orlando Magic,107,Detroit Pistons,93
2015,november,Chicago Bulls,105,Los Angeles Clippers,89
2015,november,Houston Rockets,93,Memphis Grizzlies,119
2015,november,New Orleans Pelicans,93,Portland Trail Blazers,102
2015,november,Philadelphia 76ers,75,San Antonio Spurs,100
2015,november,Los Angeles Lakers,114,Atlanta Hawks,109
2015,november,New York Knicks,113,Milwaukee Bucks,117
2015,november,New Orleans Pelicans,106,Sacramento Kings,100
2015,november,Oklahoma City Thunder,81,Utah Jazz,98
2015,november,Milwaukee Bucks,122,Brooklyn Nets,118
2015,november,San Antonio Spurs,92,Cleveland Cavaliers,90
2015,november,Oklahoma City Thunder,100,Denver Nuggets,107
2015,november,Phoenix Suns,88,Detroit Pistons,86
2015,november,Los Angeles Lakers,98,Houston Rockets,92
2015,november,Charlotte Hornets,86,Indiana Pacers,88
2015,november,New York Knicks,99,Minnesota Timberwolves,115
2015,november,Los Angeles Clippers,114,Orlando Magic,90
2015,november,Boston Celtics,101,Philadelphia 76ers,90
2015,november,Memphis Grizzlies,92,Toronto Raptors,96
2015,november,Dallas Mavericks,105,Washington Wizards,102
2015,november,Los Angeles Clippers,110,Miami Heat,93
2015,november,Chicago Bulls,88,Sacramento Kings,103
2015,november,Detroit Pistons,89,Atlanta Hawks,99
2015,november,Orlando Magic,105,Charlotte Hornets,100
2015,november,Los Angeles Lakers,106,Dallas Mavericks,140
2015,november,New Orleans Pelicans,97,Denver Nuggets,117
2015,november,Utah Jazz,88,Golden State Warriors,101
2015,november,Boston Celtics,100,Memphis Grizzlies,117
2015,november,San Antonio Spurs,121,Minnesota Timberwolves,92
2015,november,Brooklyn Nets,94,Oklahoma City Thunder,92
2015,november,Phoenix Suns,122,Philadelphia 76ers,96
2015,november,Chicago Bulls,87,Portland Trail Blazers,105
2015,november,Milwaukee Bucks,82,Toronto Raptors,124
2015,november,Cleveland Cavaliers,78,Washington Wizards,91
2015,november,Toronto Raptors,110,Cleveland Cavaliers,93
2015,november,Dallas Mavericks,92,Houston Rockets,95
2015,november,Phoenix Suns,106,Indiana Pacers,83
2015,november,Washington Wizards,111,Milwaukee Bucks,100
2015,november,Sacramento Kings,113,Minnesota Timberwolves,101
2015,november,Philadelphia 76ers,83,New York Knicks,91
2015,november,Miami Heat,99,Orlando Magic,92
2015,november,Brooklyn Nets,87,San Antonio Spurs,99
2015,november,New Orleans Pelicans,106,Utah Jazz,94
2015,november,Portland Trail Blazers,94,Boston Celtics,88
2015,november,Denver Nuggets,101,Los Angeles Lakers,94
2015,november,Los Angeles Clippers,91,Memphis Grizzlies,107
2015,november,Charlotte Hornets,93,Miami Heat,94
2015,november,Golden State Warriors,91,Oklahoma City Thunder,86
2015,november,Los Angeles Clippers,113,Charlotte Hornets,92
2015,november,Orlando Magic,74,Cleveland Cavaliers,106
2015,november,Indiana Pacers,111,Dallas Mavericks,100
2015,november,New York Knicks,86,Houston Rockets,91
2015,november,Portland Trail Blazers,114,Philadelphia 76ers,104
2015,november,Phoenix Suns,100,Toronto Raptors,104
2015,november,Chicago Bulls,97,Utah Jazz,95
2015,november,Chicago Bulls,109,Denver Nuggets,114
2015,november,Golden State Warriors,114,Miami Heat,97
2015,november,Detroit Pistons,86,Milwaukee Bucks,98
2015,november,Sacramento Kings,99,New Orleans Pelicans,89
2015,november,Atlanta Hawks,106,Washington Wizards,102
2015,november,Toronto Raptors,126,Atlanta Hawks,115
2015,november,Portland Trail Blazers,105,Charlotte Hornets,97
2015,november,Washington Wizards,87,Cleveland Cavaliers,113
2015,november,New York Knicks,102,Dallas Mavericks,109
2015,november,Los Angeles Clippers,104,Detroit Pistons,98
2015,november,Sacramento Kings,89,Houston Rockets,102
2015,november,Memphis Grizzlies,99,Los Angeles Lakers,93
2015,november,Milwaukee Bucks,103,Minnesota Timberwolves,86
2015,november,Utah Jazz,82,Oklahoma City Thunder,97
2015,november,Golden State Warriors,111,Orlando Magic,96
2015,november,Brooklyn Nets,99,Philadelphia 76ers,91
2015,november,Denver Nuggets,112,Phoenix Suns,120
2015,november,Indiana Pacers,100,San Antonio Spurs,106
2015,november,New Orleans Pelicans,91,Atlanta Hawks,100
2015,november,Chicago Bulls,109,Boston Celtics,102
2015,november,Golden State Warriors,106,Charlotte Hornets,101
2015,november,Phoenix Suns,97,Denver Nuggets,122
2015,november,Milwaukee Bucks,104,Detroit Pistons,88
2015,november,Los Angeles Clippers,102,Houston Rockets,85
2015,november,Orlando Magic,83,Indiana Pacers,98
2015,november,Minnesota Timberwolves,120,Los Angeles Lakers,119
2015,november,New York Knicks,78,Oklahoma City Thunder,105
2015,november,Memphis Grizzlies,112,Portland Trail Blazers,99
2015,november,Sacramento Kings,104,San Antonio Spurs,112
2015,november,Dallas Mavericks,106,Toronto Raptors,102
2015,november,Charlotte Hornets,75,Atlanta Hawks,105
2015,november,Indiana Pacers,97,Cleveland Cavaliers,109
2015,november,Houston Rockets,117,Milwaukee Bucks,103
2015,november,Dallas Mavericks,110,Philadelphia 76ers,103
2015,november,Los Angeles Clippers,112,Utah Jazz,96
2015,november,New Orleans Pelicans,80,Washington Wizards,83
