,a_tm,h_tm,sgoals,mqij,sim_ascore,sim_hscore
Los Angeles LakersNew Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,207.5921437,-8.468456111,100,109
Los Angeles LakersSan Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,202.316761,-18.69295521,92,111
Los Angeles LakersBoston Celtics,Los Angeles Lakers,Boston Celtics,209.4420681,-12.04043899,99,111
Los Angeles LakersCharlotte Hornets,Los Angeles Lakers,Charlotte Hornets,202.5326193,-10.12499862,97,107
Los Angeles LakersDenver Nuggets,Los Angeles Lakers,Denver Nuggets,213.0118522,-7.722352639,103,111
Los Angeles LakersIndiana Pacers,Los Angeles Lakers,Indiana Pacers,203.7772438,-11.03008542,97,108
Los Angeles LakersMemphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,199.5700149,-10.73147297,95,105
Los Angeles LakersMiami Heat,Los Angeles Lakers,Miami Heat,199.3679228,-10.11221389,95,105
Los Angeles LakersNew York Knicks,Los Angeles Lakers,New York Knicks,203.4841519,-5.223789119,99,104
Los Angeles LakersPhoenix Suns,Los Angeles Lakers,Phoenix Suns,212.5381346,-6.287059754,104,110
Los Angeles LakersPortland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,210.6639465,-11.32987288,100,112
Los Angeles LakersSacramento Kings,Los Angeles Lakers,Sacramento Kings,212.7326979,-7.50416529,103,111
Los Angeles LakersToronto Raptors,Los Angeles Lakers,Toronto Raptors,206.6186615,-13.42167744,97,110
Los Angeles LakersUtah Jazz,Los Angeles Lakers,Utah Jazz,195.1857989,-12.41783299,92,105
Los Angeles LakersCleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,206.9935321,-15.94523652,96,112
Los Angeles LakersDallas Mavericks,Los Angeles Lakers,Dallas Mavericks,207.0253033,-10.38203824,98,109
Los Angeles LakersLos Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,209.8040185,-15.2032711,98,113
Los Angeles LakersMinnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,209.7192284,-5.694342932,103,108
Los Angeles LakersOrlando Magic,Los Angeles Lakers,Orlando Magic,204.8301973,-6.06731162,100,106
Los Angeles LakersChicago Bulls,Los Angeles Lakers,Chicago Bulls,204.119279,-11.0487394,97,108
Los Angeles LakersMilwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks,203.8411612,-8.868427372,98,107
Los Angeles LakersAtlanta Hawks,Los Angeles Lakers,Atlanta Hawks,204.5280683,-13.3528923,96,109
Los Angeles LakersDetroit Pistons,Los Angeles Lakers,Detroit Pistons,203.5122835,-10.09500591,97,107
Los Angeles LakersGolden State Warriors,Los Angeles Lakers,Golden State Warriors,217.1351818,-20.67615894,98,119
Los Angeles LakersHouston Rockets,Los Angeles Lakers,Houston Rockets,214.8081651,-12.69599707,101,114
Los Angeles LakersOklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,212.2118379,-14.11842335,100,114
Los Angeles LakersPhiladelphia 76ers,Los Angeles Lakers,Philadelphia 76ers,203.5940005,-1.913688579,101,103
Los Angeles LakersWashington Wizards,Los Angeles Lakers,Washington Wizards,207.2379979,-11.42075363,98,110
Los Angeles LakersBrooklyn Nets,Los Angeles Lakers,Brooklyn Nets,208.4404531,-4.473303693,103,107
New Orleans PelicansLos Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,207.5921437,2.864888792,106,103
New Orleans PelicansSan Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,200.6689507,-13.02628276,94,107
New Orleans PelicansBoston Celtics,New Orleans Pelicans,Boston Celtics,207.7942578,-6.373766534,101,108
New Orleans PelicansCharlotte Hornets,New Orleans Pelicans,Charlotte Hornets,200.884809,-4.458326168,99,104
New Orleans PelicansDenver Nuggets,New Orleans Pelicans,Denver Nuggets,211.3640419,-2.055680187,105,107
New Orleans PelicansIndiana Pacers,New Orleans Pelicans,Indiana Pacers,202.1294335,-5.363412969,99,104
New Orleans PelicansMemphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,197.9222046,-5.064800523,97,102
New Orleans PelicansMiami Heat,New Orleans Pelicans,Miami Heat,197.7201125,-4.445541437,97,102
