,a_tm,h_tm,sgoals,mqij,sim_ascore,sim_hscore
Los Angeles Lakers vs New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,208.4096015294495,-8.927190837446195,100.0,109.0
Los Angeles Lakers vs San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,203.20360977622232,-18.827541630136334,93.0,112.0
Los Angeles Lakers vs Boston Celtics,Los Angeles Lakers,Boston Celtics,210.20757234818507,-12.355555969856391,99.0,112.0
Los Angeles Lakers vs Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets,203.85732768399828,-10.571164258121824,97.0,108.0
Los Angeles Lakers vs Denver Nuggets,Los Angeles Lakers,Denver Nuggets,214.59012077737435,-8.646068132953733,103.0,112.0
Los Angeles Lakers vs Indiana Pacers,Los Angeles Lakers,Indiana Pacers,204.4169807993082,-11.163717413967916,97.0,108.0
Los Angeles Lakers vs Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,200.67064533823645,-10.892048850108715,95.0,106.0
Los Angeles Lakers vs Miami Heat,Los Angeles Lakers,Miami Heat,200.68133913730742,-10.84856159062154,95.0,106.0
Los Angeles Lakers vs New York Knicks,Los Angeles Lakers,New York Knicks,204.611631552216,-5.481030789333154,100.0,105.0
Los Angeles Lakers vs Phoenix Suns,Los Angeles Lakers,Phoenix Suns,214.06020962800164,-6.38511903731154,104.0,111.0
Los Angeles Lakers vs Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,211.93723329204812,-11.760518788661985,101.0,113.0
Los Angeles Lakers vs Sacramento Kings,Los Angeles Lakers,Sacramento Kings,213.53083317385432,-7.459708753818843,104.0,111.0
Los Angeles Lakers vs Toronto Raptors,Los Angeles Lakers,Toronto Raptors,207.0432966096708,-13.718229453411833,97.0,110.0
Los Angeles Lakers vs Utah Jazz,Los Angeles Lakers,Utah Jazz,196.3661368464164,-12.633083046403485,92.0,105.0
Los Angeles Lakers vs Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,208.34493098045306,-15.822241677218186,97.0,113.0
Los Angeles Lakers vs Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,207.26244381376847,-10.507441140167705,99.0,109.0
